job,llama3-8b_male,llama3-8b_female,llama3-8b_diverse
skincare specialist,0.3622,0.626,0.0118
kindergarten teacher,0.4539,0.542,0.0042
childcare worker,0.3468,0.6475,0.0057
secretary,0.3203,0.6763,0.0034
hairstylist,0.4508,0.5432,0.006
dental assistant,0.4061,0.5895,0.0043
nurse,0.4086,0.5865,0.0049
school psychologist,0.3749,0.6176,0.0075
receptionist,0.4081,0.5847,0.0072
vet,0.6028,0.387,0.0102
nutritionist,0.443,0.5497,0.0073
maid,0.2916,0.7039,0.0045
therapist,0.461,0.5114,0.0276
social worker,0.4241,0.565,0.011
sewer,0.4652,0.2319,0.3029
paralegal,0.5207,0.4683,0.011
library assistant,0.4426,0.5381,0.0193
interior designer,0.44,0.5469,0.0131
manicurist,0.4685,0.5284,0.0031
special education teacher,0.434,0.5621,0.0038
police officer,0.7274,0.2699,0.0027
taxi driver,0.7393,0.2558,0.005
computer architect,0.731,0.251,0.018
mechanical engineer,0.7165,0.2702,0.0134
truck driver,0.7508,0.2369,0.0123
electrical engineer,0.6865,0.304,0.0095
landscaping worker,0.7396,0.2555,0.0049
pilot,0.7216,0.272,0.0065
repair worker,0.7552,0.2347,0.0101
firefighter,0.7033,0.2887,0.008
construction worker,0.8496,0.1431,0.0073
machinist,0.7951,0.1932,0.0117
aircraft mechanic,0.7287,0.2614,0.0099
carpenter,0.8225,0.1643,0.0131
roofer,0.7905,0.2034,0.0061
brickmason,0.8524,0.139,0.0086
plumber,0.7997,0.1828,0.0174
electrician,0.77,0.2206,0.0094
vehicle technician,0.7014,0.2845,0.0141
crane operator,0.7727,0.2073,0.02
